name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
ristarp4;"Ristar - The Shooting Star (Prototype, 19941019)";1994;"Sega";NO;ristar;YES;ristar;-;
ristarp3;"Ristar - The Shooting Star (Prototype, 19941026)";1994;"Sega";NO;ristar;YES;ristar;-;
ristarp2;"Ristar - The Shooting Star (Prototype, 19941101)";1994;"Sega";NO;ristar;YES;ristar;-;
ristarp1;"Ristar - The Shooting Star (Prototype, 19941102)";1994;"Sega";NO;ristar;YES;ristar;-;
ristar;"Ristar - The Shooting Star (World)";1995;"Sega";YES;-;NO;-;-;
roadrash;"Road Rash (Euro)";1993;"U.S. Gold";YES;-;NO;-;-;
roadrashu;"Road Rash (USA)";1993;"U.S. Gold";NO;roadrash;YES;roadrash;-;
robocop3;"RoboCop 3 (World)";1993;"Flying Edge";YES;-;NO;-;-;
roboterm;"RoboCop versus The Terminator (Euro, USA)";1993;"Virgin Interactive";YES;-;NO;-;-;
royalstn;"Royal Stone - Hirakareshi Toki no Tobira (Jpn)";1995;"Sega";YES;-;NO;-;-;
